cbsa	metro_name	yr	qtr	index_nsa	index_sa
10420	"Akron, OH"	1991	1	100	100
10420	"Akron, OH"	1991	2	102.38	101.18
10420	"Akron, OH"	1991	3	101.91	101.4
10420	"Akron, OH"	1991	4	103.05	103.13
10420	"Akron, OH"	1992	1	104.56	104.55
10420	"Akron, OH"	1992	2	106.84	105.59
10420	"Akron, OH"	1992	3	108.15	107.58
10420	"Akron, OH"	1992	4	108.7	108.83
10420	"Akron, OH"	1993	1	110.16	110.07
10420	"Akron, OH"	1993	2	112.54	111.32
10420	"Akron, OH"	1993	3	113.56	112.86
10420	"Akron, OH"	1993	4	114.35	114.58
10420	"Akron, OH"	1994	1	114.55	114.36
10420	"Akron, OH"	1994	2	119.44	118.27
10420	"Akron, OH"	1994	3	119.64	118.84
10420	"Akron, OH"	1994	4	119.34	119.58
10420	"Akron, OH"	1995	1	121.77	121.54
10420	"Akron, OH"	1995	2	123.8	122.67
10420	"Akron, OH"	1995	3	124.89	124
10420	"Akron, OH"	1995	4	124.84	125.07
10420	"Akron, OH"	1996	1	128.4	128.15
10420	"Akron, OH"	1996	2	128.9	127.78
10420	"Akron, OH"	1996	3	132.05	131.15
10420	"Akron, OH"	1996	4	131.37	131.45
10420	"Akron, OH"	1997	1	131.84	131.69
10420	"Akron, OH"	1997	2	132.9	131.77
10420	"Akron, OH"	1997	3	133.7	132.79
10420	"Akron, OH"	1997	4	135.61	135.52
10420	"Akron, OH"	1998	1	136.23	136.28
10420	"Akron, OH"	1998	2	139.49	138.23
10420	"Akron, OH"	1998	3	139.94	139.03
10420	"Akron, OH"	1998	4	140.32	140
10420	"Akron, OH"	1999	1	142.93	143.31
10420	"Akron, OH"	1999	2	146	144.54
10420	"Akron, OH"	1999	3	146.27	145.31
10420	"Akron, OH"	1999	4	147.54	147.12
10420	"Akron, OH"	2000	1	145.92	146.48
10420	"Akron, OH"	2000	2	150.16	148.59
10420	"Akron, OH"	2000	3	151.78	150.73
10420	"Akron, OH"	2000	4	152.2	151.76
10420	"Akron, OH"	2001	1	152.09	152.72
10420	"Akron, OH"	2001	2	156.54	154.97
10420	"Akron, OH"	2001	3	155.16	153.93
10420	"Akron, OH"	2001	4	158.97	158.66
10420	"Akron, OH"	2002	1	156.54	157.11
10420	"Akron, OH"	2002	2	159.92	158.4
10420	"Akron, OH"	2002	3	160.24	158.83
10420	"Akron, OH"	2002	4	160.69	160.51
10420	"Akron, OH"	2003	1	162.52	163.03
10420	"Akron, OH"	2003	2	164.95	163.42
10420	"Akron, OH"	2003	3	167.67	166.06
10420	"Akron, OH"	2003	4	166.71	166.75
10420	"Akron, OH"	2004	1	167.13	167.55
10420	"Akron, OH"	2004	2	168.13	166.55
10420	"Akron, OH"	2004	3	170.05	168.32
10420	"Akron, OH"	2004	4	169.38	169.59
10420	"Akron, OH"	2005	1	170.6	171.04
10420	"Akron, OH"	2005	2	175.28	173.59
10420	"Akron, OH"	2005	3	174.61	172.71
10420	"Akron, OH"	2005	4	171.64	171.87
10420	"Akron, OH"	2006	1	176.1	176.9
10420	"Akron, OH"	2006	2	175.25	173.27
10420	"Akron, OH"	2006	3	175.73	173.84
10420	"Akron, OH"	2006	4	173.05	173.03
10420	"Akron, OH"	2007	1	172.35	173.73
10420	"Akron, OH"	2007	2	174.39	172.07
10420	"Akron, OH"	2007	3	171.88	170.14
10420	"Akron, OH"	2007	4	167.64	167.12
10420	"Akron, OH"	2008	1	165.83	167.97
10420	"Akron, OH"	2008	2	165.83	163.24
10420	"Akron, OH"	2008	3	161.76	160.18
10420	"Akron, OH"	2008	4	156.28	155.43
10420	"Akron, OH"	2009	1	148.99	151.5
10420	"Akron, OH"	2009	2	156.53	153.81
10420	"Akron, OH"	2009	3	156.07	154.66
10420	"Akron, OH"	2009	4	159.35	158.12
10420	"Akron, OH"	2010	1	152.26	155.28
10420	"Akron, OH"	2010	2	157.34	154.34
10420	"Akron, OH"	2010	3	152.14	150.94
10420	"Akron, OH"	2010	4	150.82	149.47
10420	"Akron, OH"	2011	1	141.7	144.63
10420	"Akron, OH"	2011	2	147.72	144.84
10420	"Akron, OH"	2011	3	147	145.92
10420	"Akron, OH"	2011	4	143.36	142.1
10420	"Akron, OH"	2012	1	142.45	145.28
10420	"Akron, OH"	2012	2	149.83	146.93
10420	"Akron, OH"	2012	3	149.17	148.03
10420	"Akron, OH"	2012	4	156.14	155.04
10420	"Akron, OH"	2013	1	159.27	162.06
10420	"Akron, OH"	2013	2	156.48	153.59
10420	"Akron, OH"	2013	3	157.99	156.73
10420	"Akron, OH"	2013	4	159.16	158.29
10420	"Akron, OH"	2014	1	155.2	157.62
10420	"Akron, OH"	2014	2	162.19	159.29
10420	"Akron, OH"	2014	3	164.91	163.58
10420	"Akron, OH"	2014	4	161.37	160.58
10420	"Akron, OH"	2015	1	161.47	163.85
10420	"Akron, OH"	2015	2	169.63	166.71
10420	"Akron, OH"	2015	3	168.44	166.99
10420	"Akron, OH"	2015	4	171.69	170.92
10420	"Akron, OH"	2016	1	169.23	171.71
10580	"Albany-Schenectady-Troy, NY"	1991	1	100	100
10580	"Albany-Schenectady-Troy, NY"	1991	2	99.83	100.41
10580	"Albany-Schenectady-Troy, NY"	1991	3	99.63	100.09
10580	"Albany-Schenectady-Troy, NY"	1991	4	99.87	99.01
10580	"Albany-Schenectady-Troy, NY"	1992	1	102.92	102.99
10580	"Albany-Schenectady-Troy, NY"	1992	2	100.6	101.12
10580	"Albany-Schenectady-Troy, NY"	1992	3	100.88	101.32
10580	"Albany-Schenectady-Troy, NY"	1992	4	103.06	102.18
10580	"Albany-Schenectady-Troy, NY"	1993	1	101.96	102.18
10580	"Albany-Schenectady-Troy, NY"	1993	2	99.59	99.97
10580	"Albany-Schenectady-Troy, NY"	1993	3	99.93	100.29
10580	"Albany-Schenectady-Troy, NY"	1993	4	99.55	98.79
10580	"Albany-Schenectady-Troy, NY"	1994	1	97.59	97.94
10580	"Albany-Schenectady-Troy, NY"	1994	2	98.4	98.62
10580	"Albany-Schenectady-Troy, NY"	1994	3	97.11	97.33
10580	"Albany-Schenectady-Troy, NY"	1994	4	98.36	97.77
10580	"Albany-Schenectady-Troy, NY"	1995	1	96.24	96.74
10580	"Albany-Schenectady-Troy, NY"	1995	2	95.05	95.08
10580	"Albany-Schenectady-Troy, NY"	1995	3	94.51	94.59
10580	"Albany-Schenectady-Troy, NY"	1995	4	94.18	93.79
10580	"Albany-Schenectady-Troy, NY"	1996	1	91.84	92.42
10580	"Albany-Schenectady-Troy, NY"	1996	2	93.19	93.12
10580	"Albany-Schenectady-Troy, NY"	1996	3	92.38	92.27
10580	"Albany-Schenectady-Troy, NY"	1996	4	90.9	90.71
10580	"Albany-Schenectady-Troy, NY"	1997	1	93.04	93.68
10580	"Albany-Schenectady-Troy, NY"	1997	2	94.38	94.3
10580	"Albany-Schenectady-Troy, NY"	1997	3	92.77	92.44
10580	"Albany-Schenectady-Troy, NY"	1997	4	91.8	91.75
10580	"Albany-Schenectady-Troy, NY"	1998	1	91.27	91.94
10580	"Albany-Schenectady-Troy, NY"	1998	2	90.79	90.77
10580	"Albany-Schenectady-Troy, NY"	1998	3	93.71	93.14
10580	"Albany-Schenectady-Troy, NY"	1998	4	93.74	93.79
10580	"Albany-Schenectady-Troy, NY"	1999	1	92.79	93.54
10580	"Albany-Schenectady-Troy, NY"	1999	2	94.38	94.44
10580	"Albany-Schenectady-Troy, NY"	1999	3	95.68	94.9
10580	"Albany-Schenectady-Troy, NY"	1999	4	95.3	95.35
10580	"Albany-Schenectady-Troy, NY"	2000	1	96.46	97.38
10580	"Albany-Schenectady-Troy, NY"	2000	2	97.91	98.03
10580	"Albany-Schenectady-Troy, NY"	2000	3	100.68	99.68
10580	"Albany-Schenectady-Troy, NY"	2000	4	101.15	101.17
10580	"Albany-Schenectady-Troy, NY"	2001	1	100.17	101.32
10580	"Albany-Schenectady-Troy, NY"	2001	2	104.45	104.57
10580	"Albany-Schenectady-Troy, NY"	2001	3	107.7	106.5
10580	"Albany-Schenectady-Troy, NY"	2001	4	108.17	108.13
10580	"Albany-Schenectady-Troy, NY"	2002	1	108.92	110.45
10580	"Albany-Schenectady-Troy, NY"	2002	2	112.56	112.54
10580	"Albany-Schenectady-Troy, NY"	2002	3	116.21	114.86
10580	"Albany-Schenectady-Troy, NY"	2002	4	118.36	118.32
10580	"Albany-Schenectady-Troy, NY"	2003	1	120.94	122.81
10580	"Albany-Schenectady-Troy, NY"	2003	2	127.15	126.93
10580	"Albany-Schenectady-Troy, NY"	2003	3	133.72	132.22
10580	"Albany-Schenectady-Troy, NY"	2003	4	137.04	137.01
10580	"Albany-Schenectady-Troy, NY"	2004	1	137.24	139.47
10580	"Albany-Schenectady-Troy, NY"	2004	2	144.83	144.39
10580	"Albany-Schenectady-Troy, NY"	2004	3	152.02	150.39
10580	"Albany-Schenectady-Troy, NY"	2004	4	155.07	155.11
10580	"Albany-Schenectady-Troy, NY"	2005	1	156.69	159.18
10580	"Albany-Schenectady-Troy, NY"	2005	2	167	166.42
10580	"Albany-Schenectady-Troy, NY"	2005	3	171.16	169.33
10580	"Albany-Schenectady-Troy, NY"	2005	4	171.4	171.51
10580	"Albany-Schenectady-Troy, NY"	2006	1	175.78	178.6
10580	"Albany-Schenectady-Troy, NY"	2006	2	181.08	180.38
10580	"Albany-Schenectady-Troy, NY"	2006	3	181.11	179.13
10580	"Albany-Schenectady-Troy, NY"	2006	4	182.86	183.04
10580	"Albany-Schenectady-Troy, NY"	2007	1	181.71	184.72
10580	"Albany-Schenectady-Troy, NY"	2007	2	183.31	182.42
10580	"Albany-Schenectady-Troy, NY"	2007	3	185.73	183.84
10580	"Albany-Schenectady-Troy, NY"	2007	4	182.97	183.05
10580	"Albany-Schenectady-Troy, NY"	2008	1	179.51	182.66
10580	"Albany-Schenectady-Troy, NY"	2008	2	182.1	180.99
10580	"Albany-Schenectady-Troy, NY"	2008	3	185.01	183.34
10580	"Albany-Schenectady-Troy, NY"	2008	4	179.51	179.45
10580	"Albany-Schenectady-Troy, NY"	2009	1	173.74	176.9
10580	"Albany-Schenectady-Troy, NY"	2009	2	178.58	177.25
10580	"Albany-Schenectady-Troy, NY"	2009	3	178.08	176.76
10580	"Albany-Schenectady-Troy, NY"	2009	4	176.51	176.38
10580	"Albany-Schenectady-Troy, NY"	2010	1	171.96	175.03
10580	"Albany-Schenectady-Troy, NY"	2010	2	180.53	179.02
10580	"Albany-Schenectady-Troy, NY"	2010	3	177.53	176.46
10580	"Albany-Schenectady-Troy, NY"	2010	4	178.57	178.58
10580	"Albany-Schenectady-Troy, NY"	2011	1	166.36	168.99
10580	"Albany-Schenectady-Troy, NY"	2011	2	176.51	174.97
10580	"Albany-Schenectady-Troy, NY"	2011	3	170.01	169.27
10580	"Albany-Schenectady-Troy, NY"	2011	4	170.8	171.05
10580	"Albany-Schenectady-Troy, NY"	2012	1	172	174.04
10580	"Albany-Schenectady-Troy, NY"	2012	2	175.32	174.03
10580	"Albany-Schenectady-Troy, NY"	2012	3	173.98	173.37
10580	"Albany-Schenectady-Troy, NY"	2012	4	172.15	172.76
10580	"Albany-Schenectady-Troy, NY"	2013	1	171.63	172.83
10580	"Albany-Schenectady-Troy, NY"	2013	2	175.28	174.4
10580	"Albany-Schenectady-Troy, NY"	2013	3	179.06	178.45
10580	"Albany-Schenectady-Troy, NY"	2013	4	177.38	178.39
10580	"Albany-Schenectady-Troy, NY"	2014	1	177.96	178.41
10580	"Albany-Schenectady-Troy, NY"	2014	2	177.67	177.18
10580	"Albany-Schenectady-Troy, NY"	2014	3	182.61	181.96
10580	"Albany-Schenectady-Troy, NY"	2014	4	177.81	179.11
10580	"Albany-Schenectady-Troy, NY"	2015	1	182.26	182.17
10580	"Albany-Schenectady-Troy, NY"	2015	2	181.48	181.23
10580	"Albany-Schenectady-Troy, NY"	2015	3	180.77	180.18
10580	"Albany-Schenectady-Troy, NY"	2015	4	180.38	181.85
10580	"Albany-Schenectady-Troy, NY"	2016	1	183.4	182.98
10740	"Albuquerque, NM"	1991	1	100	100
10740	"Albuquerque, NM"	1991	2	101.13	100.57
10740	"Albuquerque, NM"	1991	3	101.09	101.02
10740	"Albuquerque, NM"	1991	4	102.43	102.53
10740	"Albuquerque, NM"	1992	1	105.51	105.54
10740	"Albuquerque, NM"	1992	2	106.58	106.02
10740	"Albuquerque, NM"	1992	3	107.31	107.16
10740	"Albuquerque, NM"	1992	4	109.53	109.65
10740	"Albuquerque, NM"	1993	1	111.12	111.22
10740	"Albuquerque, NM"	1993	2	115.19	114.58
10740	"Albuquerque, NM"	1993	3	117.99	117.7
10740	"Albuquerque, NM"	1993	4	121.18	121.35
10740	"Albuquerque, NM"	1994	1	125.53	125.79
10740	"Albuquerque, NM"	1994	2	129.15	128.4
10740	"Albuquerque, NM"	1994	3	132.93	132.48
10740	"Albuquerque, NM"	1994	4	134.27	134.52
10740	"Albuquerque, NM"	1995	1	135.16	135.54
10740	"Albuquerque, NM"	1995	2	137.71	136.86
10740	"Albuquerque, NM"	1995	3	139.06	138.53
10740	"Albuquerque, NM"	1995	4	137.86	138.13
10740	"Albuquerque, NM"	1996	1	138.22	138.67
10740	"Albuquerque, NM"	1996	2	141.14	140.22
10740	"Albuquerque, NM"	1996	3	139.94	139.44
10740	"Albuquerque, NM"	1996	4	138.82	139.05
10740	"Albuquerque, NM"	1997	1	139.2	139.65
10740	"Albuquerque, NM"	1997	2	140.91	139.98
10740	"Albuquerque, NM"	1997	3	138.71	138.31
10740	"Albuquerque, NM"	1997	4	139.89	140.04
10740	"Albuquerque, NM"	1998	1	138.92	139.33
10740	"Albuquerque, NM"	1998	2	140.16	139.29
10740	"Albuquerque, NM"	1998	3	140.64	140.32
10740	"Albuquerque, NM"	1998	4	141.06	141.09
10740	"Albuquerque, NM"	1999	1	141.7	142.1
10740	"Albuquerque, NM"	1999	2	143.05	142.28
10740	"Albuquerque, NM"	1999	3	142.12	141.77
10740	"Albuquerque, NM"	1999	4	142.94	142.9
10740	"Albuquerque, NM"	2000	1	142.12	142.54
10740	"Albuquerque, NM"	2000	2	142.73	142.05
10740	"Albuquerque, NM"	2000	3	143.06	142.61
10740	"Albuquerque, NM"	2000	4	141.72	141.65
10740	"Albuquerque, NM"	2001	1	144.46	144.95
10740	"Albuquerque, NM"	2001	2	146.1	145.46
10740	"Albuquerque, NM"	2001	3	147.16	146.53
10740	"Albuquerque, NM"	2001	4	147.5	147.55
10740	"Albuquerque, NM"	2002	1	147.34	147.84
10740	"Albuquerque, NM"	2002	2	151.26	150.64
10740	"Albuquerque, NM"	2002	3	153.71	152.87
10740	"Albuquerque, NM"	2002	4	155.1	155.32
10740	"Albuquerque, NM"	2003	1	154.54	155.05
10740	"Albuquerque, NM"	2003	2	158.97	158.34
10740	"Albuquerque, NM"	2003	3	161.53	160.46
10740	"Albuquerque, NM"	2003	4	163.2	163.62
10740	"Albuquerque, NM"	2004	1	167.24	167.76
10740	"Albuquerque, NM"	2004	2	171.2	170.54
10740	"Albuquerque, NM"	2004	3	175.48	174.13
10740	"Albuquerque, NM"	2004	4	177.44	178.09
10740	"Albuquerque, NM"	2005	1	184.78	185.29
10740	"Albuquerque, NM"	2005	2	193.15	192.51
10740	"Albuquerque, NM"	2005	3	202.81	201
10740	"Albuquerque, NM"	2005	4	208.18	209.07
10740	"Albuquerque, NM"	2006	1	216.76	217.5
10740	"Albuquerque, NM"	2006	2	225.48	224.65
10740	"Albuquerque, NM"	2006	3	232.51	230.35
10740	"Albuquerque, NM"	2006	4	235.14	236.07
10740	"Albuquerque, NM"	2007	1	237.48	238.61
10740	"Albuquerque, NM"	2007	2	239.8	238.69
10740	"Albuquerque, NM"	2007	3	240.61	238.49
10740	"Albuquerque, NM"	2007	4	233.72	234.34
10740	"Albuquerque, NM"	2008	1	232.36	233.92
10740	"Albuquerque, NM"	2008	2	229.63	228.29
10740	"Albuquerque, NM"	2008	3	229.13	227.17
10740	"Albuquerque, NM"	2008	4	220.49	221.03
10740	"Albuquerque, NM"	2009	1	212.92	214.59
10740	"Albuquerque, NM"	2009	2	219.03	217.53
10740	"Albuquerque, NM"	2009	3	214.61	212.64
10740	"Albuquerque, NM"	2009	4	214.8	215.51
10740	"Albuquerque, NM"	2010	1	210.02	211.97
10740	"Albuquerque, NM"	2010	2	208.34	206.48
10740	"Albuquerque, NM"	2010	3	203.29	201.33
10740	"Albuquerque, NM"	2010	4	200.09	201.1
10740	"Albuquerque, NM"	2011	1	195.05	197.04
10740	"Albuquerque, NM"	2011	2	191.52	189.38
10740	"Albuquerque, NM"	2011	3	195.34	193.39
10740	"Albuquerque, NM"	2011	4	188.08	189.31
10740	"Albuquerque, NM"	2012	1	190.88	193.03
10740	"Albuquerque, NM"	2012	2	198.56	195.97
10740	"Albuquerque, NM"	2012	3	199.24	197.08
10740	"Albuquerque, NM"	2012	4	192.79	194.44
10740	"Albuquerque, NM"	2013	1	194.81	197.06
10740	"Albuquerque, NM"	2013	2	203.8	200.95
10740	"Albuquerque, NM"	2013	3	201.82	199.46
10740	"Albuquerque, NM"	2013	4	199.95	201.9
10740	"Albuquerque, NM"	2014	1	199.47	201.9
10740	"Albuquerque, NM"	2014	2	207.08	203.98
10740	"Albuquerque, NM"	2014	3	207.74	205.31
10740	"Albuquerque, NM"	2014	4	207.41	209.46
10740	"Albuquerque, NM"	2015	1	206.58	209.14
10740	"Albuquerque, NM"	2015	2	213.75	210.5
10740	"Albuquerque, NM"	2015	3	215.28	212.88
10740	"Albuquerque, NM"	2015	4	209.55	211.48
10740	"Albuquerque, NM"	2016	1	211.65	214.28
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1991	1	100	100
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1991	2	100.16	99.91
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1991	3	101.88	101.15
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1991	4	99.65	99.97
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1992	1	102.32	102.38
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1992	2	101.53	101.25
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1992	3	101.1	100.35
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1992	4	99.88	100.16
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1993	1	99.7	99.9
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1993	2	100.7	100.33
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1993	3	99.85	99.1
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1993	4	101.57	101.81
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1994	1	99.74	100.11
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1994	2	100.72	100.25
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1994	3	100.77	99.99
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1994	4	98.94	99.13
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1995	1	98.3	98.79
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1995	2	98.73	98.2
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1995	3	98.66	97.88
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1995	4	97.74	97.94
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1996	1	97.03	97.56
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1996	2	99.4	98.84
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1996	3	100.04	99.25
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1996	4	97.62	97.82
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1997	1	99.98	100.51
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1997	2	98.68	98.12
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1997	3	99.88	99.13
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1997	4	99.18	99.36
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1998	1	100	100.5
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1998	2	100.85	100.29
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1998	3	101.75	101.06
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1998	4	101.68	101.79
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1999	1	102.24	102.74
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1999	2	104.86	104.3
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1999	3	105.6	104.96
10900	"Allentown-Bethlehem-Easton, PA-NJ"	1999	4	105.84	105.83
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2000	1	107.51	108.06
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2000	2	108.5	107.95
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2000	3	111.57	110.94
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2000	4	113.55	113.42
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2001	1	114.33	114.97
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2001	2	117.05	116.53
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2001	3	118.33	117.62
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2001	4	119.98	119.72
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2002	1	121.22	122.02
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2002	2	125.24	124.75
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2002	3	128.31	127.44
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2002	4	131.64	131.32
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2003	1	134.28	135.25
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2003	2	139.47	139
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2003	3	143.93	142.77
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2003	4	146.47	146.17
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2004	1	149.02	150.18
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2004	2	154.92	154.38
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2004	3	162.02	160.6
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2004	4	166.9	166.63
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2005	1	166.83	168.13
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2005	2	175.72	175.16
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2005	3	183.33	181.64
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2005	4	188.3	187.97
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2006	1	191.86	193.45
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2006	2	197.2	196.6
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2006	3	199.84	197.92
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2006	4	198.31	197.91
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2007	1	201.82	203.57
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2007	2	206.66	206.12
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2007	3	201.55	199.47
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2007	4	200.21	199.75
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2008	1	192.81	194.71
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2008	2	188.43	187.85
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2008	3	187.51	185.42
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2008	4	185.13	184.78
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2009	1	175.92	177.85
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2009	2	175.3	174.63
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2009	3	176.58	174.51
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2009	4	172.01	171.67
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2010	1	173.36	175.66
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2010	2	170.1	169.08
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2010	3	168.22	166.28
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2010	4	162.67	162.33
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2011	1	156.66	159.04
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2011	2	159.9	158.6
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2011	3	158.5	156.78
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2011	4	153.95	153.53
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2012	1	152.47	155.08
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2012	2	156.89	155.38
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2012	3	156.34	154.67
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2012	4	157.55	157.14
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2013	1	155.14	157.81
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2013	2	162.34	160.84
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2013	3	158.64	156.91
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2013	4	161.76	161.27
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2014	1	157.14	159.8
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2014	2	163.59	162.3
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2014	3	166.7	164.74
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2014	4	165.53	165.09
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2015	1	160.91	163.43
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2015	2	163.14	162.15
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2015	3	167.52	165.38
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2015	4	163.58	163.19
10900	"Allentown-Bethlehem-Easton, PA-NJ"	2016	1	165.86	168.33
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1991	1	100	100
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1991	2	100.99	100.24
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1991	3	100.12	98.83
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1991	4	101.01	100.22
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1992	1	99.95	99.96
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1992	2	98.48	97.72
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1992	3	98.72	97.45
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1992	4	96.69	95.95
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1993	1	94.11	94.13
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1993	2	92.93	92.19
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1993	3	91.91	90.71
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1993	4	89.57	88.93
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1994	1	87.37	87.41
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1994	2	87.84	87.1
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1994	3	87.45	86.26
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1994	4	85.77	85.21
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1995	1	85.73	85.8
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1995	2	85.01	84.26
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1995	3	84.69	83.48
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1995	4	84.13	83.67
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1996	1	83.42	83.51
